재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기,전기,전전기,Unnamed: 15
"재무상태표, 유동/비유동법-별도재무제표",[027410],BGF리테일,유가증권시장상장법인,471,종합 소매업,12,2015-12-31,사업보고서,KRW,ifrs_NoncurrentProvisions,      충당부채,"911,658,549","370,390,000",,
"재무상태표, 유동/비유동법-별도재무제표",[027410],BGF리테일,유가증권시장상장법인,471,종합 소매업,12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[001460],BYC,유가증권시장상장법인,141,봉제의복 제조업,12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[001460],BYC,유가증권시장상장법인,141,봉제의복 제조업,12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[001460],BYC,유가증권시장상장법인,141,봉제의복 제조업,12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[001460],BYC,유가증권시장상장법인,141,봉제의복 제조업,12,2015-12-31,사업보고서,KRW,dart_OtherComprehensiveIncomeLossAccumulatedAmount,      3.기타포괄손익누계액,,,,
"재무상태표, 유동/비유동법-별도재무제표",[032040],C&S자산관리,코스닥시장상장법인,759,기타 사업지원 서비스업,12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[032040],C&S자산관리,코스닥시장상장법인,759,기타 사업지원 서비스업,12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[032040],C&S자산관리,코스닥시장상장법인,759,기타 사업지원 서비스업,12,2015-12-31,사업보고서,KRW,ifrs_OtherCurrentFinancialLiabilities,      기타유동금융부채,"7,100,070,682","1,543,656,089",,
"재무상태표, 유동/비유동법-별도재무제표",[032040],C&S자산관리,코스닥시장상장법인,759,기타 사업지원 서비스업,12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[001040],CJ,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[079160],CJ CGV,유가증권시장상장법인,591,"영화, 비디오물, 방송프로그램 제작 및 배급업",12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[079160],CJ CGV,유가증권시장상장법인,591,"영화, 비디오물, 방송프로그램 제작 및 배급업",12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[079160],CJ CGV,유가증권시장상장법인,591,"영화, 비디오물, 방송프로그램 제작 및 배급업",12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[130960],CJ E&M,코스닥시장상장법인,602,텔레비전 방송업,12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[130960],CJ E&M,코스닥시장상장법인,602,텔레비전 방송업,12,2015-12-31,사업보고서,KRW,ifrs_InvestmentProperty,      투자부동산,"3,578,311,814",,,
"재무상태표, 유동/비유동법-별도재무제표",[130960],CJ E&M,코스닥시장상장법인,602,텔레비전 방송업,12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[130960],CJ E&M,코스닥시장상장법인,602,텔레비전 방송업,12,2015-12-31,사업보고서,KRW,entity00838421_udf_BS_201182385422250_CurrentLiabilities,      유동성사채,"49,969,815,810","99,924,350,466",,
"재무상태표, 유동/비유동법-별도재무제표",[130960],CJ E&M,코스닥시장상장법인,602,텔레비전 방송업,12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2015-12-31,사업보고서,KRW,ifrs_CurrentTaxLiabilities,      당기법인세부채,,"1,240,459,433",,
"재무상태표, 유동/비유동법-별도재무제표",[011150],CJ씨푸드,유가증권시장상장법인,107,기타 식품 제조업,12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[011150],CJ씨푸드,유가증권시장상장법인,107,기타 식품 제조업,12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[011150],CJ씨푸드,유가증권시장상장법인,107,기타 식품 제조업,12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[035760],CJ오쇼핑,코스닥시장상장법인,602,텔레비전 방송업,12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[035760],CJ오쇼핑,코스닥시장상장법인,602,텔레비전 방송업,12,2015-12-31,사업보고서,KRW,entity00265324_udf_BS_201531693459109_CurrentAssets,      당기손익인식금융자산,"2,000,339,726","22,066,180,945",,
"재무상태표, 유동/비유동법-별도재무제표",[035760],CJ오쇼핑,코스닥시장상장법인,602,텔레비전 방송업,12,2015-12-31,사업보고서,KRW,dart_GoodwillGross,      영업권,,"1,675,554,576",,
"재무상태표, 유동/비유동법-별도재무제표",[035760],CJ오쇼핑,코스닥시장상장법인,602,텔레비전 방송업,12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[035760],CJ오쇼핑,코스닥시장상장법인,602,텔레비전 방송업,12,2015-12-31,사업보고서,KRW,dart_ShortTermBorrowings,      차입금,"6,966,438,511","10,100,000,000",,
"재무상태표, 유동/비유동법-별도재무제표",[035760],CJ오쇼핑,코스닥시장상장법인,602,텔레비전 방송업,12,2015-12-31,사업보고서,KRW,ifrs_DeferredTaxLiabilities,      이연법인세부채,"1,177,135,079","2,208,469,175",,
"재무상태표, 유동/비유동법-별도재무제표",[035760],CJ오쇼핑,코스닥시장상장법인,602,텔레비전 방송업,12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[097950],CJ제일제당,유가증권시장상장법인,107,기타 식품 제조업,12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[097950],CJ제일제당,유가증권시장상장법인,107,기타 식품 제조업,12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[097950],CJ제일제당,유가증권시장상장법인,107,기타 식품 제조업,12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[051500],CJ프레시웨이,코스닥시장상장법인,463,음·식료품 및 담배 도매업,12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[051500],CJ프레시웨이,코스닥시장상장법인,463,음·식료품 및 담배 도매업,12,2015-12-31,사업보고서,KRW,ifrs_DeferredTaxAssets,      이연법인세자산,"824,558,282","115,655,984",,
"재무상태표, 유동/비유동법-별도재무제표",[051500],CJ프레시웨이,코스닥시장상장법인,463,음·식료품 및 담배 도매업,12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[051500],CJ프레시웨이,코스닥시장상장법인,463,음·식료품 및 담배 도매업,12,2015-12-31,사업보고서,KRW,ifrs_CurrentPortionOfLongtermBorrowings,      유동성장기사채,,"49,992,836,311",,
"재무상태표, 유동/비유동법-별도재무제표",[051500],CJ프레시웨이,코스닥시장상장법인,463,음·식료품 및 담배 도매업,12,2015-12-31,사업보고서,KRW,dart_PaymentsOfIncomeTaxesPayable,      당기 법인세부채,"3,477,306,856","5,458,631,328",,
"재무상태표, 유동/비유동법-별도재무제표",[051500],CJ프레시웨이,코스닥시장상장법인,463,음·식료품 및 담배 도매업,12,2015-12-31,사업보고서,KRW,ifrs_OtherNoncurrentNonfinancialLiabilities,      기타비유동부채,"687,769,897","438,109,449",,
"재무상태표, 유동/비유동법-별도재무제표",[051500],CJ프레시웨이,코스닥시장상장법인,463,음·식료품 및 담배 도매업,12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[037560],CJ헬로비전,유가증권시장상장법인,602,텔레비전 방송업,12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[037560],CJ헬로비전,유가증권시장상장법인,602,텔레비전 방송업,12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[037560],CJ헬로비전,유가증권시장상장법인,602,텔레비전 방송업,12,2015-12-31,사업보고서,KRW,entity00222532_udf_BS_2016328142444164_NoncurrentLiabilities,      기타장기종업원급여,"565,022,523",,,
"재무상태표, 유동/비유동법-별도재무제표",[037560],CJ헬로비전,유가증권시장상장법인,602,텔레비전 방송업,12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[058820],CMG제약,코스닥시장상장법인,212,의약품 제조업,12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[058820],CMG제약,코스닥시장상장법인,212,의약품 제조업,12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[058820],CMG제약,코스닥시장상장법인,212,의약품 제조업,12,2015-12-31,사업보고서,KRW,entity00380429_udf_BS_201232311542193_CurrentLiabilities,      단기금융부채,,"1,538,046,324",,
"재무상태표, 유동/비유동법-별도재무제표",[058820],CMG제약,코스닥시장상장법인,212,의약품 제조업,12,2015-12-31,사업보고서,KRW,entity00380429_udf_BS_201532610344423_CurrentLiabilities,      유동성장기금융부채,,,,
"재무상태표, 유동/비유동법-별도재무제표",[058820],CMG제약,코스닥시장상장법인,212,의약품 제조업,12,2015-12-31,사업보고서,KRW,ifrs_OtherNoncurrentNonfinancialLiabilities,      기타비유동비금융부채,"224,589,895",,,
"재무상태표, 유동/비유동법-별도재무제표",[058820],CMG제약,코스닥시장상장법인,212,의약품 제조업,12,2015-12-31,사업보고서,KRW,entity00380429_udf_BS_2012323115514421_NoncurrentLiabilities,      확정급여부채,"651,349,019","346,480,070",,
"재무상태표, 유동/비유동법-별도재무제표",[058820],CMG제약,코스닥시장상장법인,212,의약품 제조업,12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[023460],CNH,코스닥시장상장법인,642,투자기관,12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[023460],CNH,코스닥시장상장법인,642,투자기관,12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[023460],CNH,코스닥시장상장법인,642,투자기관,12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[065770],CS,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[065770],CS,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2015-12-31,사업보고서,KRW,entity00303703_udf_BS_2016325185053898_CurrentAssets,      기타유동채권,"1,562,886,054","1,825,425,003",,
"재무상태표, 유동/비유동법-별도재무제표",[065770],CS,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[065770],CS,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[083660],CSA 코스믹,코스닥시장상장법인,222,플라스틱제품 제조업,12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[083660],CSA 코스믹,코스닥시장상장법인,222,플라스틱제품 제조업,12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[083660],CSA 코스믹,코스닥시장상장법인,222,플라스틱제품 제조업,12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[000590],CS홀딩스,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[000590],CS홀딩스,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_InvestmentProperty,      투자부동산,"55,691,838",,,
"재무상태표, 유동/비유동법-별도재무제표",[000590],CS홀딩스,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[000590],CS홀딩스,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,dart_ShortTermBorrowings,      단기차입금,,,,
"재무상태표, 유동/비유동법-별도재무제표",[000590],CS홀딩스,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,entity00149026_udf_BS_2012329161337445_NoncurrentLiabilities,      기타지급채무,"10,000,000",,,
"재무상태표, 유동/비유동법-별도재무제표",[000590],CS홀딩스,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[068790],DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[068790],DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2015-12-31,사업보고서,KRW,entity00361594_udf_BS_201281018310468_CurrentAssets,      매도가능금융자산,,,,
"재무상태표, 유동/비유동법-별도재무제표",[068790],DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2015-12-31,사업보고서,KRW,entity00361594_udf_BS_201181503917156_CurrentAssets,      매각예정자산,,,,
"재무상태표, 유동/비유동법-별도재무제표",[068790],DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[068790],DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2015-12-31,사업보고서,KRW,entity00361594_udf_BS_201532817106877_CurrentLiabilities,      금융보증부채,,"2,000,000,000",,
"재무상태표, 유동/비유동법-별도재무제표",[068790],DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[004840],DRB동일,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[004840],DRB동일,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_DeferredTaxAssets,      이연법인세자산,"4,376,938,872","1,564,883,879",,
"재무상태표, 유동/비유동법-별도재무제표",[004840],DRB동일,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[004840],DRB동일,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[155660],DSR,유가증권시장상장법인,139,기타 섬유제품 제조업,12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[155660],DSR,유가증권시장상장법인,139,기타 섬유제품 제조업,12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[155660],DSR,유가증권시장상장법인,139,기타 섬유제품 제조업,12,2015-12-31,사업보고서,KRW,dart_LongTermBorrowingsGross,      장기차입금,"5,000,000,000",,,
"재무상태표, 유동/비유동법-별도재무제표",[155660],DSR,유가증권시장상장법인,139,기타 섬유제품 제조업,12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[069730],DSR제강,유가증권시장상장법인,241,1차 철강 제조업,12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[069730],DSR제강,유가증권시장상장법인,241,1차 철강 제조업,12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[069730],DSR제강,유가증권시장상장법인,241,1차 철강 제조업,12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[017940],E1,유가증권시장상장법인,467,기타 전문 도매업,12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[017940],E1,유가증권시장상장법인,467,기타 전문 도매업,12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
