업종명,업종
"그 외 기타 전문, 과학 및 기술 서비스업",739
항공 여객 운송업,511
"건축기술, 엔지니어링 및 관련 기술 서비스업",721
가전제품 및 정보통신장비 소매업,473
그 외 기타 제품 제조업,339
"인형, 장난감 및 오락용품 제조업",334
전문 디자인업,732
일반 및 생활 숙박시설 운영업,551
편조원단 제조업,133
"증기, 냉ㆍ온수 및 공기조절 공급업",353
그 외 기타 개인 서비스업,969
기타 전문 서비스업,716
사업시설 유지ㆍ관리 서비스업,741
자동차 재제조 부품 제조업,304
개인 및 가정용품 임대업,762
산업용 농ㆍ축산물 및 동ㆍ식물 도매업,462
신발 및 신발 부분품 제조업,152
