,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기
184,[054620],APS홀딩스,코스닥시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00296078_udf_BS_2017116172525215_NoncurrentAssets,무형자산,1292371300.0
192,[054620],APS홀딩스,코스닥시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00296078_udf_BS_201711617280597_CurrentLiabilities,기타지급채무,6310736000.0
202,[054620],APS홀딩스,코스닥시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00296078_udf_BS_2017116173111915_NoncurrentLiabilities,기타지급채무,266131000.0
230,[265520],AP시스템,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2019-12-31,사업보고서,KRW,entity01203808_udf_BS_201851315152557_CurrentAssets,계약자산,31787346000.0
231,[265520],AP시스템,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2019-12-31,사업보고서,KRW,entity01203808_udf_BS_20184113757747_CurrentAssets,기타수취채권,923241800.0
247,[265520],AP시스템,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2019-12-31,사업보고서,KRW,entity01203808_udf_BS_2018513151740146_CurrentLiabilities,계약부채,48408666000.0
248,[265520],AP시스템,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2019-12-31,사업보고서,KRW,entity01203808_udf_BS_201881010528286_CurrentLiabilities,기타지급채무,18357623000.0
256,[265520],AP시스템,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2019-12-31,사업보고서,KRW,entity01203808_udf_BS_20184113156589_NoncurrentLiabilities,기타지급채무,2539474200.0
288,[027410],BGF,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00219097_udf_BS_20185711826423_NoncurrentAssets,기타포괄손익인식금융자산,33659800000.0
442,[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00148540_udf_BS_2017118112347377_AssetsAbstract,매각예정자산,514473530000.0
452,[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00148540_udf_BS_2017118125941933_NoncurrentAssets,무형자산,7005911000000.0
464,[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00148540_udf_BS_201711813520668_CurrentLiabilities,유동성장기사채및차입금,2063348400000.0
471,[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00148540_udf_BS_2020315205117410_LiabilitiesAbstract,매각예정부채,1316853000.0
558,[035760],CJ ENM,코스닥시장상장법인,602,텔레비전 방송업,12,2019-12-31,사업보고서,KRW,entity00265324_udf_BS_202032313390461_AssetsAbstract,매각예정자산,5136685600.0
559,[035760],CJ ENM,코스닥시장상장법인,602,텔레비전 방송업,12,2019-12-31,사업보고서,KRW,entity00265324_udf_BS_202032313394288_udf_BS_202032313390461_AssetsAbstract,매각예정자산,5136685600.0
586,[035760],CJ ENM,코스닥시장상장법인,602,텔레비전 방송업,12,2019-12-31,사업보고서,KRW,entity00265324_udf_BS_20203231341146_LiabilitiesAbstract,매각예정부채,1316309400.0
587,[035760],CJ ENM,코스닥시장상장법인,602,텔레비전 방송업,12,2019-12-31,사업보고서,KRW,entity00265324_udf_BS_2020323134116939_udf_BS_20203231341146_LiabilitiesAbstract,매각예정부채,1316309400.0
591,[035760],CJ ENM,코스닥시장상장법인,602,텔레비전 방송업,12,2019-12-31,사업보고서,KRW,entity00265324_udf_BS_201711101023339_NoncurrentLiabilities,순확정급여부채,41018030000.0
612,[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2019-12-31,사업보고서,KRW,entity00113410_udf_BS_202022014658888_CurrentAssets,당기손익-공정가치측정금융자산,991889300.0
621,[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2019-12-31,사업보고서,KRW,entity00113410_udf_BS_2020220141015253_NoncurrentAssets,당기손익-공정가치측정금융자산,15429907000.0
673,[097950],CJ제일제당,유가증권시장상장법인,107,기타 식품 제조업,12,2019-12-31,사업보고서,KRW,entity00635134_udf_BS_2019322182837191_CurrentAssets,유동성금융리스자산,
674,[097950],CJ제일제당,유가증권시장상장법인,107,기타 식품 제조업,12,2019-12-31,사업보고서,KRW,entity00635134_udf_BS_2017119142137457_AssetsAbstract,매각예정으로분류된처분집단의자산,509387150000.0
677,[097950],CJ제일제당,유가증권시장상장법인,107,기타 식품 제조업,12,2019-12-31,사업보고서,KRW,entity00635134_udf_BS_201711914288652_NoncurrentAssets,무형자산,4810224400000.0
731,[051500],CJ프레시웨이,코스닥시장상장법인,463,음ㆍ식료품 및 담배 도매업,12,2019-12-31,사업보고서,KRW,entity00127954_udf_BS_2020320175619551_NoncurrentAssets,당기손익-공정가치금융자산,350120000.0
732,[051500],CJ프레시웨이,코스닥시장상장법인,463,음ㆍ식료품 및 담배 도매업,12,2019-12-31,사업보고서,KRW,entity00127954_udf_BS_2020320175923152_NoncurrentAssets,기타포괄손익-공정가치금융자산,2860900.0
748,[051500],CJ프레시웨이,코스닥시장상장법인,463,음ㆍ식료품 및 담배 도매업,12,2019-12-31,사업보고서,KRW,entity00127954_udf_BS_2020323161329769_CurrentLiabilities,리스부채(유동),24998873000.0
758,[051500],CJ프레시웨이,코스닥시장상장법인,463,음ㆍ식료품 및 담배 도매업,12,2019-12-31,사업보고서,KRW,entity00127954_udf_BS_2020323161842866_NoncurrentLiabilities,리스부채(비유동),163919970000.0
801,[058820],CMG제약,코스닥시장상장법인,212,의약품 제조업,12,2019-12-31,사업보고서,KRW,entity00380429_udf_BS_201711718929723_EquityAttributableToOwnersOfParent,자본조정,845231200.0
836,[023460],CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2019-12-31,사업보고서,KRW,entity00149266_udf_BS_201882153420734_AssetsAbstract,대출자산,25007733000.0
837,[023460],CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2019-12-31,사업보고서,KRW,entity00149266_udf_BS_201882153446166_AssetsAbstract,할부금융자산,446393250.0
838,[023460],CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2019-12-31,사업보고서,KRW,entity00149266_udf_BS_20188215345446_AssetsAbstract,리스자산,145405740000.0
851,[023460],CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2019-12-31,사업보고서,KRW,entity00149266_udf_BS_201882153938764_LiabilitiesAbstract,차입부채,241950800000.0
852,[023460],CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2019-12-31,사업보고서,KRW,entity00149266_udf_BS_201882153949404_udf_BS_201882153938764_LiabilitiesAbstract,차입금,134398770000.0
854,[023460],CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2019-12-31,사업보고서,KRW,entity00149266_udf_BS_201882153956980_udf_BS_201882153938764_LiabilitiesAbstract,전대리스미지급금,64603263000.0
855,[023460],CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2019-12-31,사업보고서,KRW,entity00149266_udf_BS_20188215401955_udf_BS_201882153938764_LiabilitiesAbstract,금융리스부채,18135503000.0
863,[023460],CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2019-12-31,사업보고서,KRW,entity00149266_udf_BS_201882154220586_EquityAttributableToOwnersOfParent,기타연결자본,-3315579600.0
885,[065770],CS,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2019-12-31,사업보고서,KRW,entity00303703_udf_BS_2017112165243779_NoncurrentAssets,기타비유동채권,151203780.0
919,[083660],CSA 코스믹,코스닥시장상장법인,222,플라스틱제품 제조업,12,2019-12-31,사업보고서,KRW,entity00406037_udf_BS_2017117204652302_CurrentAssets,기타유동비금융자산,325809700.0
928,[083660],CSA 코스믹,코스닥시장상장법인,222,플라스틱제품 제조업,12,2019-12-31,사업보고서,KRW,entity00406037_udf_BS_2017119111230100_NoncurrentAssets,무형자산,98376310.0
934,[083660],CSA 코스믹,코스닥시장상장법인,222,플라스틱제품 제조업,12,2019-12-31,사업보고서,KRW,entity00406037_udf_BS_201711911185828_CurrentLiabilities,기타유동비금융부채,775228000.0
939,[083660],CSA 코스믹,코스닥시장상장법인,222,플라스틱제품 제조업,12,2019-12-31,사업보고서,KRW,entity00406037_udf_BS_202032715414014_NoncurrentLiabilities,기타비유동비금융부채,213600720.0
1091,[068790],DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2019-12-31,사업보고서,KRW,entity00361594_udf_BS_2018330163348224_CurrentAssets,당기손익인식금융자산,0.0
1102,[068790],DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2019-12-31,사업보고서,KRW,entity00361594_udf_BS_20194193240535_NoncurrentAssets,장기성매출채권및기타채권,783566600.0
1104,[068790],DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2019-12-31,사업보고서,KRW,entity00361594_udf_BS_20194193313488_NoncurrentAssets,장기계약자산,48540557000.0
1105,[068790],DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2019-12-31,사업보고서,KRW,entity00361594_udf_BS_2017119203112612_NoncurrentAssets,관계기업투자,5940790000.0
1106,[068790],DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2019-12-31,사업보고서,KRW,entity00361594_udf_BS_202032720154962_NoncurrentAssets,공동기업투자,13128134000.0
1116,[068790],DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2019-12-31,사업보고서,KRW,entity00361594_udf_BS_2020327206274_CurrentLiabilities,당기손익인식금융부채,1902738200.0
1127,[068790],DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2019-12-31,사업보고서,KRW,entity00361594_udf_BS_20194194322133_NoncurrentLiabilities,장기매입채무및기타채무,424714000.0
1133,[068790],DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2019-12-31,사업보고서,KRW,entity00361594_udf_BS_2017119204126130_EquityAttributableToOwnersOfParent,기타불입자본,41056956000.0
1143,[004840],DRB동일,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00118266_udf_BS_202022515185145_CurrentAssets,기타수취채권,20220109000.0
1153,[004840],DRB동일,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00118266_udf_BS_202022515192492_NoncurrentAssets,당기손익-공정가치측정금융자산,653361860.0
1154,[004840],DRB동일,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00118266_udf_BS_2020225152251264_NoncurrentAssets,기타금융자산,15610000.0
1155,[004840],DRB동일,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00118266_udf_BS_202032513153729_NoncurrentAssets,관계기업투자,2392694500.0
1157,[004840],DRB동일,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00118266_udf_BS_202022515231263_NoncurrentAssets,기타수취채권,7546175000.0
1169,[004840],DRB동일,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00118266_udf_BS_2020225152723405_CurrentLiabilities,기타지급채무,30050530000.0
1170,[004840],DRB동일,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00118266_udf_BS_202032513188169_CurrentLiabilities,기타유동충당부채,218953120.0
1173,[004840],DRB동일,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00118266_udf_BS_202022518033766_CurrentLiabilities,파생금융부채,
1176,[004840],DRB동일,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00118266_udf_BS_2020225153515971_NoncurrentLiabilities,기타지급채무,1570742500.0
1226,[155660],DSR,유가증권시장상장법인,242,1차 비철금속 제조업,12,2019-12-31,사업보고서,KRW,entity00110608_udf_BS_2020319114251531_NoncurrentLiabilities,비유동미지급법인세,477984350.0
1346,[037370],EG,코스닥시장상장법인,467,기타 전문 도매업,12,2019-12-31,사업보고서,KRW,entity00261054_udf_BS_2018226132414847_CurrentAssets,기타채권,391134080.0
1353,[037370],EG,코스닥시장상장법인,467,기타 전문 도매업,12,2019-12-31,사업보고서,KRW,entity00261054_udf_BS_201832081151540_NoncurrentAssets,장기기타채권,1040301900.0
1362,[037370],EG,코스닥시장상장법인,467,기타 전문 도매업,12,2019-12-31,사업보고서,KRW,entity00261054_udf_BS_2018226132521161_CurrentLiabilities,기타채무,3367379200.0
1365,[037370],EG,코스닥시장상장법인,467,기타 전문 도매업,12,2019-12-31,사업보고서,KRW,entity00261054_udf_BS_2018226132747786_CurrentLiabilities,유동성장기부채,360000000.0
1368,[037370],EG,코스닥시장상장법인,467,기타 전문 도매업,12,2019-12-31,사업보고서,KRW,entity00261054_udf_BS_201981210427474_CurrentLiabilities,단기리스부채,0.0
1372,[037370],EG,코스닥시장상장법인,467,기타 전문 도매업,12,2019-12-31,사업보고서,KRW,entity00261054_udf_BS_20171030152640531_NoncurrentLiabilities,퇴직급여충당부채,0.0
1376,[037370],EG,코스닥시장상장법인,467,기타 전문 도매업,12,2019-12-31,사업보고서,KRW,entity00261054_udf_BS_201985133441449_NoncurrentLiabilities,장기리스부채,0.0
1381,[037370],EG,코스닥시장상장법인,467,기타 전문 도매업,12,2019-12-31,사업보고서,KRW,entity00261054_udf_BS_2017103015295891_EquityAttributableToOwnersOfParent,기타불입자본,28975854000.0
1390,[079190],EMW,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2019-12-31,사업보고서,KRW,entity00479705_udf_BS_2019325143648166_CurrentAssets,당기손익-공정가치측정금융자산,2360985900.0
1393,[079190],EMW,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2019-12-31,사업보고서,KRW,entity00479705_udf_BS_201932514372466_CurrentAssets,기타금융자산,1382659700.0
1395,[079190],EMW,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2019-12-31,사업보고서,KRW,entity00479705_udf_BS_2020320152733933_CurrentAssets,환불자산,23393736.0
1399,[079190],EMW,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2019-12-31,사업보고서,KRW,entity00479705_udf_BS_2019325144048124_CurrentAssets,매각예정자산,
1403,[079190],EMW,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2019-12-31,사업보고서,KRW,entity00479705_udf_BS_2019325144224871_NoncurrentAssets,당기손익-공정가치측정금융자산,22388296.0
1407,[079190],EMW,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2019-12-31,사업보고서,KRW,entity00479705_udf_BS_202032394233138_NoncurrentAssets,관계기업투자주식,
1409,[079190],EMW,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2019-12-31,사업보고서,KRW,entity00479705_udf_BS_2019325144531561_NoncurrentAssets,무형자산,2306443500.0
1416,[079190],EMW,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2019-12-31,사업보고서,KRW,entity00479705_udf_BS_2019325144839880_CurrentLiabilities,매입채무,2753572600.0
1417,[079190],EMW,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2019-12-31,사업보고서,KRW,entity00479705_udf_BS_2019325144855523_CurrentLiabilities,기타채무,2606974200.0
1418,[079190],EMW,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2019-12-31,사업보고서,KRW,entity00479705_udf_BS_201932514492745_CurrentLiabilities,유동성차입금,8638403000.0
1419,[079190],EMW,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2019-12-31,사업보고서,KRW,entity00479705_udf_BS_202032394353856_CurrentLiabilities,충당부채,
1420,[079190],EMW,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2019-12-31,사업보고서,KRW,entity00479705_udf_BS_2020320153238554_CurrentLiabilities,유동성리스부채,682622140.0
1421,[079190],EMW,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2019-12-31,사업보고서,KRW,entity00479705_udf_BS_2020320153253134_CurrentLiabilities,환불부채,106299340.0
1425,[079190],EMW,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2019-12-31,사업보고서,KRW,entity00479705_udf_BS_2019325144825769_NoncurrentLiabilities,비유동성차입금,1260660000.0
1427,[079190],EMW,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2019-12-31,사업보고서,KRW,entity00479705_udf_BS_2019325145035580_NoncurrentLiabilities,순확정급여부채,2042684700.0
1436,[079190],EMW,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2019-12-31,사업보고서,KRW,entity00479705_udf_BS_2019325145214977_EquityAttributableToOwnersOfParent,매각예정자산과관련하여자본으로직접인식된금액,
1467,[007700],F&F,유가증권시장상장법인,141,봉제의복 제조업,12,2019-12-31,사업보고서,KRW,entity00126487_udf_BS_2018811151214151_CurrentAssets,반품자산,82017784.0
1628,[900290],GRT,코스닥시장상장법인,649,기타 금융업,6,2019-06-30,사업보고서,CNY,entity01170962_udf_BS_20181018154012609_CurrentAssets,선급리스자산,2066819.0
1629,[900290],GRT,코스닥시장상장법인,649,기타 금융업,6,2019-06-30,사업보고서,CNY,entity01170962_udf_BS_20181018154020417_CurrentAssets,특수관계자채권,14180003.0
1635,[900290],GRT,코스닥시장상장법인,649,기타 금융업,6,2019-06-30,사업보고서,CNY,entity01170962_udf_BS_20181018154212807_NoncurrentAssets,장기선급리스자산,95129080.0
1644,[900290],GRT,코스닥시장상장법인,649,기타 금융업,6,2019-06-30,사업보고서,CNY,entity01170962_udf_BS_2018101816424827_CurrentLiabilities,특수관계자채무,5005.0
1651,[900290],GRT,코스닥시장상장법인,649,기타 금융업,6,2019-06-30,사업보고서,CNY,entity01170962_udf_BS_2018101815491093_NoncurrentLiabilities,장기금융리스부채,0.0
1727,[083450],GST,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2019-12-31,사업보고서,KRW,entity00540863_udf_BS_2019322204143927_CurrentAssets,기타의투자자산,
1731,[083450],GST,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2019-12-31,사업보고서,KRW,entity00540863_udf_BS_2019322204023842_NoncurrentAssets,기타포괄손익-공정가치금융자산,45085220.0
1780,[006360],GS건설,유가증권시장상장법인,411,건물 건설업,12,2019-12-31,사업보고서,KRW,entity00120030_udf_BS_201851463727114_NoncurrentAssets,당기손익-공정가치측정금융자산,244021350000.0
1813,[001250],GS글로벌,유가증권시장상장법인,468,상품 종합 도매업,12,2019-12-31,사업보고서,KRW,entity00138190_udf_BS_201711194521484_CurrentAssets,유동비금융자산,20015217000.0
1838,[001250],GS글로벌,유가증권시장상장법인,468,상품 종합 도매업,12,2019-12-31,사업보고서,KRW,entity00138190_udf_BS_2017111144451517_CurrentLiabilities,유동비금융부채,8176574000.0
1874,[007070],GS리테일,유가증권시장상장법인,471,종합 소매업,12,2019-12-31,사업보고서,KRW,entity00140177_udf_BS_2019513174721397_NoncurrentAssets,리스,1245596000000.0
1876,[007070],GS리테일,유가증권시장상장법인,471,종합 소매업,12,2019-12-31,사업보고서,KRW,entity00140177_udf_BS_202031713228821_NoncurrentAssets,순확정급여자산,544827300.0
1882,[007070],GS리테일,유가증권시장상장법인,471,종합 소매업,12,2019-12-31,사업보고서,KRW,entity00140177_udf_BS_201831393422833_CurrentLiabilities,차입금및사채,475405100000.0
1889,[007070],GS리테일,유가증권시장상장법인,471,종합 소매업,12,2019-12-31,사업보고서,KRW,entity00140177_udf_BS_20183139345697_NoncurrentLiabilities,장기차입금및사채,521552660000.0
1911,[028150],GS홈쇼핑,코스닥시장상장법인,602,텔레비전 방송업,12,2019-12-31,사업보고서,KRW,entity00207755_udf_BS_2017112143829239_CurrentAssets,유동비금융자산,10681010000.0
1915,[028150],GS홈쇼핑,코스닥시장상장법인,602,텔레비전 방송업,12,2019-12-31,사업보고서,KRW,entity00207755_udf_BS_2017112143955462_NoncurrentAssets,비유동금융자산,268928860000.0
1920,[028150],GS홈쇼핑,코스닥시장상장법인,602,텔레비전 방송업,12,2019-12-31,사업보고서,KRW,entity00207755_udf_BS_201953184444408_NoncurrentAssets,리스사용권자산,3068607200.0
1928,[028150],GS홈쇼핑,코스닥시장상장법인,602,텔레비전 방송업,12,2019-12-31,사업보고서,KRW,entity00207755_udf_BS_20195116455918_CurrentLiabilities,유동금융부채,990773440.0
1934,[028150],GS홈쇼핑,코스닥시장상장법인,602,텔레비전 방송업,12,2019-12-31,사업보고서,KRW,entity00207755_udf_BS_201931420152632_NoncurrentLiabilities,비유동금융부채,1999779700.0
2075,[012630],HDC,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00164636_udf_BS_2018812141556545_CurrentLiabilities,기타지급채무,177414490000.0
2107,[039570],HDC아이콘트롤스,유가증권시장상장법인,423,전기 및 통신 공사업,12,2019-12-31,사업보고서,KRW,entity00350312_udf_BS_202022614820763_CurrentAssets,단기투자증권,0.0
2118,[039570],HDC아이콘트롤스,유가증권시장상장법인,423,전기 및 통신 공사업,12,2019-12-31,사업보고서,KRW,entity00350312_udf_BS_202022614930416_NoncurrentAssets,장기투자증권,0.0
2164,[089470],HDC현대EP,유가증권시장상장법인,204,기타 화학제품 제조업,12,2019-12-31,사업보고서,KRW,entity00357935_udf_BS_2017111385041867_CurrentAssets,기타수취채권,5906944000.0
2170,[089470],HDC현대EP,유가증권시장상장법인,204,기타 화학제품 제조업,12,2019-12-31,사업보고서,KRW,entity00357935_udf_BS_201881014280459_NoncurrentAssets,장기투자증권,1502772000.0
2171,[089470],HDC현대EP,유가증권시장상장법인,204,기타 화학제품 제조업,12,2019-12-31,사업보고서,KRW,entity00357935_udf_BS_2018810142828669_NoncurrentAssets,관계기업투자,1414577800.0
2172,[089470],HDC현대EP,유가증권시장상장법인,204,기타 화학제품 제조업,12,2019-12-31,사업보고서,KRW,entity00357935_udf_BS_201711139102144_NoncurrentAssets,장기기타수취채권,589266600.0
2174,[089470],HDC현대EP,유가증권시장상장법인,204,기타 화학제품 제조업,12,2019-12-31,사업보고서,KRW,entity00357935_udf_BS_2018810142942531_NoncurrentAssets,무형자산,4569186300.0
2185,[089470],HDC현대EP,유가증권시장상장법인,204,기타 화학제품 제조업,12,2019-12-31,사업보고서,KRW,entity00357935_udf_BS_20188101446637_CurrentLiabilities,기타지급채무,14739732000.0
2189,[089470],HDC현대EP,유가증권시장상장법인,204,기타 화학제품 제조업,12,2019-12-31,사업보고서,KRW,entity00357935_udf_BS_2017111392449817_CurrentLiabilities,기타충당부채,544069000.0
2221,[294870],HDC현대산업개발,유가증권시장상장법인,411,건물 건설업,12,2019-12-31,사업보고서,KRW,entity01310269_udf_BS_2020310151359449_NoncurrentAssets,관계기업및공동기업투자,78831950000.0
2225,[294870],HDC현대산업개발,유가증권시장상장법인,411,건물 건설업,12,2019-12-31,사업보고서,KRW,entity01310269_udf_BS_2020310151644359_NoncurrentAssets,리스자산,29206335000.0
2268,[036640],HRS,코스닥시장상장법인,202,합성고무 및 플라스틱 물질 제조업,12,2019-12-31,사업보고서,KRW,entity00230911_udf_BS_20171031173542150_CurrentAssets,기타수취채권,55048450.0
2276,[036640],HRS,코스닥시장상장법인,202,합성고무 및 플라스틱 물질 제조업,12,2019-12-31,사업보고서,KRW,entity00230911_udf_BS_201710311758632_NoncurrentAssets,기타수취채권,98044260.0
2323,[082740],HSD엔진,유가증권시장상장법인,291,일반 목적용 기계 제조업,12,2019-12-31,사업보고서,KRW,entity00361008_udf_BS_2020312175718470_NoncurrentAssets,장기기타채권,547743500.0
2339,[082740],HSD엔진,유가증권시장상장법인,291,일반 목적용 기계 제조업,12,2019-12-31,사업보고서,KRW,entity00361008_udf_BS_202031218444421_CurrentLiabilities,유동화부채,43352424000.0
2349,[082740],HSD엔진,유가증권시장상장법인,291,일반 목적용 기계 제조업,12,2019-12-31,사업보고서,KRW,entity00361008_udf_BS_202031218937341_NoncurrentLiabilities,장기기타채무,2808094700.0
